window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
1,2021-12-31 23:55:00+00:00,2022-12-31 22:55:00+00:00,2022-12-31 23:55:00+00:00,2023-02-28 23:55:00+00:00,105108,"{'chop': 61054, 'trend_down': 24023, 'trend_up': 20031}","{1: 45743, -1: 45593, 0: 13772}",49,16992,0.7837217514124294,0.4912311676082863,-0.33501041752193417,-0.12324423739732016,-0.3680661176311911,1105,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.27640000000000003, 'samples': 1382, 'trade_count': 1382, 'trade_rate': 0.08133239171374765, 'turnover': 0.1626647834274953, 'cumulative_return': -0.33501041752193417, 'gross_cumulative_return': -0.12324423739732016, 'gross_mean_return': -8.385347043381068e-05, 'gross_volatility': 0.004757032569332813, 'gross_sharpe_like': -0.017627264310610208, 'cost_impact': 0.211766180124614, 'mean_return': -0.0002838534704338106, 'volatility': 0.004757032569332813, 'sharpe_like': -0.0596702810621332, 'win_rate': 0.4804630969609262, 'avg_trade_return': -0.0002838534704338106, 'profit_factor': 0.8163299343454312, 'expectancy': -0.0002838534704338099, 'avg_win': 0.0026257992073714016, 'avg_loss': -0.002974674331245315, 'gross_profit': 1.7435306736946108, 'gross_loss': -2.1358161698341362, 'max_drawdown': -0.3680661176311911, 'max_drawdown_duration': 1105}","{'chop': 9395, 'trend_down': 3834, 'trend_up': 3763}","{'chop': 11101, 'trend_up': 3078, 'trend_down': 2813}","{1: 7176, -1: 6390, 0: 3426}","{-1: 8317, 1: 7709, 0: 966}"
2,2022-01-31 23:55:00+00:00,2023-01-31 22:55:00+00:00,2023-01-31 23:55:00+00:00,2023-03-31 23:55:00+00:00,105108,"{'chop': 60330, 'trend_down': 24048, 'trend_up': 20730}","{1: 45550, -1: 44587, 0: 14971}",49,16992,0.8122645951035782,0.5150659133709982,-0.36766773538517095,-0.16127415938499123,-0.40764899575470037,1362,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.28240000000000004, 'samples': 1412, 'trade_count': 1412, 'trade_rate': 0.0830979284369115, 'turnover': 0.166195856873823, 'cumulative_return': -0.36766773538517095, 'gross_cumulative_return': -0.16127415938499123, 'gross_mean_return': -0.00010537362470167554, 'gross_volatility': 0.00616865315786379, 'gross_sharpe_like': -0.017082112092385256, 'cost_impact': 0.2063935760001797, 'mean_return': -0.00030537362470167543, 'volatility': 0.00616865315786379, 'sharpe_like': -0.04950410030954416, 'win_rate': 0.47875354107648727, 'avg_trade_return': -0.00030537362470167543, 'profit_factor': 0.8457542332665312, 'expectancy': -0.0003053736247016748, 'avg_win': 0.0034974414389514364, 'avg_loss': -0.00379817659077437, 'gross_profit': 2.364270412731171, 'gross_loss': -2.7954579708099363, 'max_drawdown': -0.40764899575470037, 'max_drawdown_duration': 1362}","{'chop': 9681, 'trend_down': 3872, 'trend_up': 3439}","{'chop': 10900, 'trend_down': 3590, 'trend_up': 2502}","{1: 7137, -1: 7089, 0: 2766}","{-1: 8714, 1: 8048, 0: 230}"
3,2022-02-28 23:55:00+00:00,2023-02-28 22:55:00+00:00,2023-02-28 23:55:00+00:00,2023-04-28 23:55:00+00:00,105108,"{'chop': 60351, 'trend_down': 24214, 'trend_up': 20543}","{1: 45082, -1: 44329, 0: 15697}",49,16992,0.8150306026365348,0.5131826741996234,-0.3425926143772252,-0.12854453565486645,-0.4286121323798132,1025,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2818, 'samples': 1409, 'trade_count': 1409, 'trade_rate': 0.0829213747645951, 'turnover': 0.1658427495291902, 'cumulative_return': -0.3425926143772252, 'gross_cumulative_return': -0.12854453565486645, 'gross_mean_return': -7.929482131752247e-05, 'gross_volatility': 0.00607164141570554, 'gross_sharpe_like': -0.01305986567527032, 'cost_impact': 0.21404807872235876, 'mean_return': -0.0002792948213175224, 'volatility': 0.00607164141570554, 'sharpe_like': -0.04599988737725342, 'win_rate': 0.45564229950319374, 'avg_trade_return': -0.0002792948213175224, 'profit_factor': 0.8548888771060386, 'expectancy': -0.0002792948213175229, 'avg_win': 0.0036111689863175247, 'avg_loss': -0.0035357195468738462, 'gross_profit': 2.3183704892158508, 'gross_loss': -2.71189689245224, 'max_drawdown': -0.4286121323798132, 'max_drawdown_duration': 1025}","{'chop': 9620, 'trend_down': 3860, 'trend_up': 3512}","{'chop': 10929, 'trend_down': 3272, 'trend_up': 2791}","{1: 7185, -1: 7127, 0: 2680}","{1: 8609, -1: 8033, 0: 350}"
4,2022-03-28 23:55:00+00:00,2023-03-28 22:55:00+00:00,2023-03-28 23:55:00+00:00,2023-05-28 23:55:00+00:00,105108,"{'chop': 60325, 'trend_down': 24194, 'trend_up': 20589}","{1: 44740, -1: 44388, 0: 15980}",49,17568,0.8122153916211293,0.4983492714025501,-0.4936698331363035,-0.3228457930614437,-0.49806365053369417,1444,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2906, 'samples': 1453, 'trade_count': 1453, 'trade_rate': 0.08270719489981786, 'turnover': 0.1654143897996357, 'cumulative_return': -0.4936698331363035, 'gross_cumulative_return': -0.3228457930614437, 'gross_mean_return': -0.00025793871055860315, 'gross_volatility': 0.004549125899023005, 'gross_sharpe_like': -0.05670071927752087, 'cost_impact': 0.17082404007485985, 'mean_return': -0.0004579387105586031, 'volatility': 0.004549125899023005, 'sharpe_like': -0.10066520925634362, 'win_rate': 0.45629731589814176, 'avg_trade_return': -0.0004579387105586031, 'profit_factor': 0.7186327299402162, 'expectancy': -0.000457938710558603, 'avg_win': 0.0025632611729260847, 'avg_loss': -0.0029934520304957524, 'gross_profit': 1.699442157649994, 'gross_loss': -2.364827104091644, 'max_drawdown': -0.49806365053369417, 'max_drawdown_duration': 1444}","{'chop': 9869, 'trend_down': 4048, 'trend_up': 3651}","{'chop': 10982, 'trend_down': 3698, 'trend_up': 2888}","{-1: 7176, 1: 7131, 0: 3261}","{1: 8651, -1: 8326, 0: 591}"
5,2022-04-28 23:55:00+00:00,2023-04-28 22:55:00+00:00,2023-04-28 23:55:00+00:00,2023-06-28 23:55:00+00:00,105108,"{'chop': 60032, 'trend_down': 24156, 'trend_up': 20920}","{1: 44545, -1: 44249, 0: 16314}",49,17568,0.8000341530054644,0.49470628415300544,-0.026990313242420183,0.30163028627601807,-0.18471163732214568,1408,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.29100000000000004, 'samples': 1455, 'trade_count': 1455, 'trade_rate': 0.08282103825136612, 'turnover': 0.16564207650273224, 'cumulative_return': -0.026990313242420183, 'gross_cumulative_return': 0.30163028627601807, 'gross_mean_return': 0.00018948918765353173, 'gross_volatility': 0.004075495703760629, 'gross_sharpe_like': 0.04649475828883397, 'cost_impact': 0.32862059951843825, 'mean_return': -1.0510812346468196e-05, 'volatility': 0.004075495703760629, 'sharpe_like': -0.0025790267271707423, 'win_rate': 0.49690721649484537, 'avg_trade_return': -1.0510812346468196e-05, 'profit_factor': 0.9918910411855386, 'expectancy': -1.0510812346467687e-05, 'avg_win': 0.002587377824427182, 'avg_loss': -0.002576458195389294, 'gross_profit': 1.8706741670608527, 'gross_loss': -1.885967399024963, 'max_drawdown': -0.18471163732214568, 'max_drawdown_duration': 1408}","{'chop': 9467, 'trend_down': 4305, 'trend_up': 3796}","{'chop': 10426, 'trend_down': 4140, 'trend_up': 3002}","{1: 7077, -1: 7057, 0: 3434}","{1: 8649, -1: 8433, 0: 486}"
6,2022-05-28 23:55:00+00:00,2023-05-28 22:55:00+00:00,2023-05-28 23:55:00+00:00,2023-07-28 23:55:00+00:00,105108,"{'chop': 59827, 'trend_down': 24011, 'trend_up': 21270}","{1: 44232, -1: 43600, 0: 17276}",49,17568,0.7919512750455373,0.47114071038251365,-0.24713966679649768,0.006978461971993921,-0.2605844890619389,1419,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2908, 'samples': 1454, 'trade_count': 1454, 'trade_rate': 0.08276411657559199, 'turnover': 0.16552823315118398, 'cumulative_return': -0.24713966679649768, 'gross_cumulative_return': 0.006978461971993921, 'gross_mean_return': 1.1948927560567528e-05, 'gross_volatility': 0.0037903818659306477, 'gross_sharpe_like': 0.0031524337080569382, 'cost_impact': 0.2541181287684916, 'mean_return': -0.00018805107243943244, 'volatility': 0.0037903818659306477, 'sharpe_like': -0.04961269842748694, 'win_rate': 0.4759284731774415, 'avg_trade_return': -0.00018805107243943244, 'profit_factor': 0.8524341838115647, 'expectancy': -0.0001880510724394319, 'avg_win': 0.002282491766097229, 'avg_loss': -0.002431641156779812, 'gross_profit': 1.5794843021392824, 'gross_loss': -1.8529105614662167, 'max_drawdown': -0.2605844890619389, 'max_drawdown_duration': 1419}","{'chop': 10035, 'trend_down': 4137, 'trend_up': 3396}","{'chop': 10741, 'trend_down': 3759, 'trend_up': 3068}","{1: 7018, -1: 6713, 0: 3837}","{-1: 8568, 1: 8312, 0: 688}"
7,2022-06-28 23:55:00+00:00,2023-06-28 22:55:00+00:00,2023-06-28 23:55:00+00:00,2023-08-28 23:55:00+00:00,105108,"{'chop': 59211, 'trend_down': 24305, 'trend_up': 21592}","{1: 43930, -1: 43013, 0: 18165}",49,17568,0.787966757741348,0.44359061930783245,-0.24267071439466714,0.007902334018430102,-0.2629194113783655,1381,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2858, 'samples': 1429, 'trade_count': 1429, 'trade_rate': 0.08134107468123862, 'turnover': 0.16268214936247724, 'cumulative_return': -0.24267071439466714, 'gross_cumulative_return': 0.007902334018430102, 'gross_mean_return': 1.0423763720950854e-05, 'gross_volatility': 0.0031457823338744816, 'gross_sharpe_like': 0.003313568014132909, 'cost_impact': 0.25057304841309724, 'mean_return': -0.00018957623627904917, 'volatility': 0.0031457823338744816, 'sharpe_like': -0.060263621623673776, 'win_rate': 0.45206438068579424, 'avg_trade_return': -0.00018957623627904917, 'profit_factor': 0.8113211045391012, 'expectancy': -0.0001895762362790494, 'avg_win': 0.0018032380202975436, 'avg_loss': -0.0018337116254852803, 'gross_profit': 1.1648917611122132, 'gross_loss': -1.4357962027549744, 'max_drawdown': -0.2629194113783655, 'max_drawdown_duration': 1381}","{'chop': 10676, 'trend_down': 4040, 'trend_up': 2852}","{'chop': 10133, 'trend_down': 4525, 'trend_up': 2910}","{-1: 6302, 1: 6159, 0: 5107}","{-1: 8940, 1: 7068, 0: 1560}"
8,2022-07-28 23:55:00+00:00,2023-07-28 22:55:00+00:00,2023-07-28 23:55:00+00:00,2023-09-28 23:55:00+00:00,105108,"{'chop': 59891, 'trend_down': 23969, 'trend_up': 21248}","{1: 43276, -1: 42216, 0: 19616}",49,17856,0.7969870071684588,0.45211693548387094,-0.1466593850671064,0.13406472580066153,-0.21531249545345743,1324,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2844, 'samples': 1422, 'trade_count': 1422, 'trade_rate': 0.07963709677419355, 'turnover': 0.1592741935483871, 'cumulative_return': -0.1466593850671064, 'gross_cumulative_return': 0.13406472580066153, 'gross_mean_return': 9.377566906302623e-05, 'gross_volatility': 0.0032649724632446537, 'gross_sharpe_like': 0.028721733527220673, 'cost_impact': 0.28072411086776794, 'mean_return': -0.00010622433093697378, 'volatility': 0.0032649724632446537, 'sharpe_like': -0.03253452582917361, 'win_rate': 0.4317862165963432, 'avg_trade_return': -0.00010622433093697378, 'profit_factor': 0.8911822691238073, 'expectancy': -0.0001062243309369735, 'avg_win': 0.002014754346139268, 'avg_loss': -0.0017179581276260977, 'gross_profit': 1.2370591685295105, 'gross_loss': -1.388110167121887, 'max_drawdown': -0.21531249545345743, 'max_drawdown_duration': 1324}","{'chop': 10958, 'trend_down': 4046, 'trend_up': 2852}","{'chop': 10390, 'trend_down': 4551, 'trend_up': 2915}","{-1: 6402, 1: 6073, 0: 5381}","{1: 7978, -1: 7254, 0: 2624}"
9,2022-08-28 23:55:00+00:00,2023-08-28 22:55:00+00:00,2023-08-28 23:55:00+00:00,2023-10-28 23:55:00+00:00,105108,"{'chop': 59622, 'trend_down': 24272, 'trend_up': 21214}","{1: 42265, -1: 41422, 0: 21421}",49,17568,0.8004895264116576,0.4804758652094718,-0.17024570369556613,0.09678797270464745,-0.22719556670542118,1377,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.279, 'samples': 1395, 'trade_count': 1395, 'trade_rate': 0.07940573770491803, 'turnover': 0.15881147540983606, 'cumulative_return': -0.17024570369556613, 'gross_cumulative_return': 0.09678797270464745, 'gross_mean_return': 7.382374937816332e-05, 'gross_volatility': 0.003907622745306505, 'gross_sharpe_like': 0.018892240676721916, 'cost_impact': 0.2670336764002136, 'mean_return': -0.00012617625062183666, 'volatility': 0.003907622745306505, 'sharpe_like': -0.0322897727968721, 'win_rate': 0.44874551971326165, 'avg_trade_return': -0.00012617625062183666, 'profit_factor': 0.8983715221917258, 'expectancy': -0.0001261762506218362, 'avg_win': 0.002485524499454438, 'avg_loss': -0.0022522161329986213, 'gross_profit': 1.5559383366584782, 'gross_loss': -1.7319542062759399, 'max_drawdown': -0.22719556670542118, 'max_drawdown_duration': 1377}","{'chop': 10972, 'trend_down': 3396, 'trend_up': 3200}","{'chop': 10314, 'trend_down': 3837, 'trend_up': 3417}","{1: 6831, -1: 6390, 0: 4347}","{1: 7672, -1: 7570, 0: 2326}"
10,2022-09-28 23:55:00+00:00,2023-09-28 22:55:00+00:00,2023-09-28 23:55:00+00:00,2023-11-28 23:55:00+00:00,105108,"{'chop': 59808, 'trend_down': 24430, 'trend_up': 20870}","{1: 41447, -1: 40742, 0: 22919}",49,17568,0.7920651183970856,0.4774590163934426,-0.241143011801633,0.010340513809556917,-0.30384285136794287,852,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2862, 'samples': 1431, 'trade_count': 1431, 'trade_rate': 0.08145491803278689, 'turnover': 0.16290983606557377, 'cumulative_return': -0.241143011801633, 'gross_cumulative_return': 0.010340513809556917, 'gross_mean_return': 1.696833024734721e-05, 'gross_volatility': 0.004431539128077446, 'gross_sharpe_like': 0.003828992536664943, 'cost_impact': 0.2514835256111899, 'mean_return': -0.0001830316697526528, 'volatility': 0.004431539128077446, 'sharpe_like': -0.0413020543117845, 'win_rate': 0.4835779175401817, 'avg_trade_return': -0.0001830316697526528, 'profit_factor': 0.8726494756429027, 'expectancy': -0.00018303166975265216, 'avg_win': 0.002593575384024251, 'avg_loss': -0.002783048017808968, 'gross_profit': 1.7947541657447816, 'gross_loss': -2.0566724851608273, 'max_drawdown': -0.30384285136794287, 'max_drawdown_duration': 852}","{'chop': 10431, 'trend_down': 3758, 'trend_up': 3379}","{'chop': 9422, 'trend_down': 4204, 'trend_up': 3942}","{1: 7441, -1: 6713, 0: 3414}","{-1: 8489, 1: 7893, 0: 1186}"
