window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
1,2017-01-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,1086,"{'chop': 641, 'trend_up': 337, 'trend_down': 108}","{1: 757, -1: 314, 0: 15}",49,186,0.7419354838709677,0.44623655913978494,0.5536024755076074,0.5556542885305478,-0.09796031970977781,2,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03763440860215054, 'turnover': 0.07526881720430108, 'cumulative_return': 0.5536024755076074, 'gross_cumulative_return': 0.5556542885305478, 'gross_mean_return': 0.06934377976826259, 'gross_volatility': 0.10060086207932294, 'gross_sharpe_like': 0.6892960789300752, 'cost_impact': 0.0020518130229403297, 'mean_return': 0.0691437797682626, 'volatility': 0.10060086207932294, 'sharpe_like': 0.6873080243958875, 'win_rate': 0.7142857142857143, 'avg_trade_return': 0.0691437797682626, 'profit_factor': 5.202598262097014, 'expectancy': 0.06914377976826258, 'avg_win': 0.11983496885299683, 'avg_loss': -0.057584192943573004, 'gross_profit': 0.5991748442649841, 'gross_loss': -0.11516838588714601, 'max_drawdown': -0.09796031970977781, 'max_drawdown_duration': 2}","{'chop': 125, 'trend_down': 37, 'trend_up': 24}","{'chop': 117, 'trend_down': 56, 'trend_up': 13}","{1: 87, -1: 86, 0: 13}","{1: 111, 0: 44, -1: 31}"
2,2017-02-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,1086,"{'chop': 654, 'trend_up': 316, 'trend_down': 116}","{1: 735, -1: 336, 0: 15}",49,186,0.5752688172043011,0.16666666666666666,-0.16655940750663034,-0.1655195893552751,-0.29923728544489037,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': -0.16655940750663034, 'gross_cumulative_return': -0.1655195893552751, 'gross_mean_return': -0.02176817258199056, 'gross_volatility': 0.13769057222566183, 'gross_sharpe_like': -0.15809486611991547, 'cost_impact': 0.0010398181513552318, 'mean_return': -0.021968172581990564, 'volatility': 0.13769057222566183, 'sharpe_like': -0.15954739839403678, 'win_rate': 0.3333333333333333, 'avg_trade_return': -0.021968172581990564, 'profit_factor': 0.6844118389545106, 'expectancy': -0.021968172581990575, 'avg_win': 0.1429262493133545, 'avg_loss': -0.10441538352966309, 'gross_profit': 0.285852498626709, 'gross_loss': -0.41766153411865237, 'max_drawdown': -0.29923728544489037, 'max_drawdown_duration': 5}","{'chop': 117, 'trend_up': 69}","{'trend_up': 130, 'chop': 38, 'trend_down': 18}","{1: 143, -1: 29, 0: 14}","{-1: 124, 0: 58, 1: 4}"
3,2017-03-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 322, 'trend_down': 113}","{1: 750, -1: 338, 0: 16}",49,180,0.7888888888888889,0.2611111111111111,-0.2677002938952229,-0.26677048334276765,-0.22833791899896083,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03333333333333333, 'turnover': 0.06666666666666667, 'cumulative_return': -0.2677002938952229, 'gross_cumulative_return': -0.26677048334276765, 'gross_mean_return': -0.04656452933947245, 'gross_volatility': 0.09394282888236556, 'gross_sharpe_like': -0.4956688008382223, 'cost_impact': 0.0009298105524552236, 'mean_return': -0.04676452933947245, 'volatility': 0.09394282888236556, 'sharpe_like': -0.4977977552499575, 'win_rate': 0.3333333333333333, 'avg_trade_return': -0.04676452933947245, 'profit_factor': 0.3078674343241997, 'expectancy': -0.04676452933947247, 'avg_win': 0.06240398030281066, 'avg_loss': -0.10134878416061402, 'gross_profit': 0.12480796060562133, 'gross_loss': -0.4053951366424561, 'max_drawdown': -0.22833791899896083, 'max_drawdown_duration': 5}","{'chop': 156, 'trend_down': 12, 'trend_up': 12}","{'chop': 148, 'trend_up': 21, 'trend_down': 11}","{-1: 94, 1: 73, 0: 13}","{-1: 89, 1: 66, 0: 25}"
4,2017-04-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,1098,"{'chop': 677, 'trend_up': 333, 'trend_down': 88}","{1: 737, -1: 346, 0: 15}",49,186,0.8064516129032258,0.26344086021505375,-0.18562624706709874,-0.18444652599431655,-0.2572697553899401,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03763440860215054, 'turnover': 0.07526881720430108, 'cumulative_return': -0.18562624706709874, 'gross_cumulative_return': -0.18444652599431655, 'gross_mean_return': -0.024766462189810618, 'gross_volatility': 0.09325103113730188, 'gross_sharpe_like': -0.2655891510019308, 'cost_impact': 0.0011797210727821916, 'mean_return': -0.024966462189810624, 'volatility': 0.09325103113730188, 'sharpe_like': -0.26773389940375303, 'win_rate': 0.42857142857142855, 'avg_trade_return': -0.024966462189810624, 'profit_factor': 0.4777688289581392, 'expectancy': -0.024966462189810613, 'avg_win': 0.05329528789520263, 'avg_loss': -0.08366277475357055, 'gross_profit': 0.1598858636856079, 'gross_loss': -0.3346510990142822, 'max_drawdown': -0.2572697553899401, 'max_drawdown_duration': 5}","{'chop': 135, 'trend_up': 51}","{'chop': 99, 'trend_up': 87}","{1: 118, -1: 54, 0: 14}","{-1: 151, 1: 24, 0: 11}"
5,2017-05-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,1104,"{'chop': 711, 'trend_up': 305, 'trend_down': 88}","{1: 717, -1: 370, 0: 17}",49,180,0.6166666666666667,0.2833333333333333,-0.03969604177994124,-0.03852905679601115,-0.25528233862391914,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03333333333333333, 'turnover': 0.06666666666666667, 'cumulative_return': -0.03969604177994124, 'gross_cumulative_return': -0.03852905679601115, 'gross_mean_return': -0.0011365413665771484, 'gross_volatility': 0.11433826509528773, 'gross_sharpe_like': -0.009940166274431159, 'cost_impact': 0.001166984983930086, 'mean_return': -0.0013365413665771587, 'volatility': 0.11433826509528773, 'sharpe_like': -0.011689361959999183, 'win_rate': 0.5, 'avg_trade_return': -0.0013365413665771587, 'profit_factor': 0.9712112261315338, 'expectancy': -0.001336541366577161, 'avg_win': 0.09017848313649494, 'avg_loss': -0.09285156586964927, 'gross_profit': 0.2705354494094848, 'gross_loss': -0.2785546976089478, 'max_drawdown': -0.25528233862391914, 'max_drawdown_duration': 3}","{'chop': 100, 'trend_up': 63, 'trend_down': 17}","{'chop': 169, 'trend_down': 11}","{1: 121, -1: 45, 0: 14}","{-1: 89, 0: 75, 1: 16}"
6,2017-06-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,1098,"{'chop': 661, 'trend_up': 339, 'trend_down': 98}","{1: 699, -1: 381, 0: 18}",49,186,0.4946236559139785,0.21505376344086022,-0.039575306302479074,-0.0385994517135394,-0.25645572542627026,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.001, 'samples': 5, 'trade_count': 5, 'trade_rate': 0.026881720430107527, 'turnover': 0.053763440860215055, 'cumulative_return': -0.039575306302479074, 'gross_cumulative_return': -0.0385994517135394, 'gross_mean_return': -0.0005828499794006348, 'gross_volatility': 0.1331589241361401, 'gross_sharpe_like': -0.004377100394748878, 'cost_impact': 0.000975854588939673, 'mean_return': -0.0007828499794006391, 'volatility': 0.1331589241361401, 'sharpe_like': -0.0058790650681456585, 'win_rate': 0.6, 'avg_trade_return': -0.0007828499794006391, 'profit_factor': 0.9857288544306246, 'expectancy': -0.0007828499794006391, 'avg_win': 0.09012098452250163, 'avg_loss': -0.13713860173225403, 'gross_profit': 0.2703629535675049, 'gross_loss': -0.27427720346450807, 'max_drawdown': -0.25645572542627026, 'max_drawdown_duration': 3}","{'chop': 153, 'trend_up': 28, 'trend_down': 5}","{'trend_up': 117, 'chop': 69}","{1: 118, -1: 54, 0: 14}","{0: 93, 1: 93}"
7,2017-07-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 362, 'trend_down': 73}","{1: 727, -1: 359, 0: 18}",49,186,0.8118279569892473,0.3924731182795699,-0.013460666488231188,-0.012066966845939109,-0.20095291678543636,6,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03763440860215054, 'turnover': 0.07526881720430108, 'cumulative_return': -0.013460666488231188, 'gross_cumulative_return': -0.012066966845939109, 'gross_mean_return': 0.004883229732513428, 'gross_volatility': 0.12556849192700192, 'gross_sharpe_like': 0.03888897332104815, 'cost_impact': 0.0013936996422920789, 'mean_return': 0.004683229732513422, 'volatility': 0.12556849192700192, 'sharpe_like': 0.03729621707359498, 'win_rate': 0.42857142857142855, 'avg_trade_return': 0.004683229732513422, 'profit_factor': 1.0924436701492999, 'expectancy': 0.004683229732513422, 'avg_win': 0.12913504581451415, 'avg_loss': -0.08865563232898713, 'gross_profit': 0.3874051374435425, 'gross_loss': -0.3546225293159485, 'max_drawdown': -0.20095291678543636, 'max_drawdown_duration': 6}","{'chop': 152, 'trend_down': 24, 'trend_up': 10}","{'chop': 185, 'trend_up': 1}","{-1: 112, 1: 60, 0: 14}","{1: 127, -1: 40, 0: 19}"
8,2017-08-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,1104,"{'chop': 724, 'trend_up': 332, 'trend_down': 48}","{1: 693, -1: 392, 0: 19}",49,168,0.7678571428571429,0.35714285714285715,-0.04733607939567652,-0.046176450714110584,-0.16333510238638504,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03571428571428571, 'turnover': 0.07142857142857142, 'cumulative_return': -0.04733607939567652, 'gross_cumulative_return': -0.046176450714110584, 'gross_mean_return': -0.0022476613521575928, 'gross_volatility': 0.11520510175044688, 'gross_sharpe_like': -0.01951008521329546, 'cost_impact': 0.0011596286815659385, 'mean_return': -0.0024476613521575985, 'volatility': 0.11520510175044688, 'sharpe_like': -0.021246119442345827, 'win_rate': 0.5, 'avg_trade_return': -0.0024476613521575985, 'profit_factor': 0.9524893258386821, 'expectancy': -0.0024476613521575985, 'avg_win': 0.09814094842274983, 'avg_loss': -0.10303627112706502, 'gross_profit': 0.29442284526824947, 'gross_loss': -0.30910881338119506, 'max_drawdown': -0.16333510238638504, 'max_drawdown_duration': 3}","{'chop': 131, 'trend_up': 33, 'trend_down': 4}","{'chop': 142, 'trend_up': 17, 'trend_down': 9}","{1: 94, -1: 61, 0: 13}","{1: 108, 0: 39, -1: 21}"
9,2017-09-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,1086,"{'chop': 726, 'trend_up': 278, 'trend_down': 82}","{1: 633, -1: 435, 0: 18}",49,186,0.8010752688172043,0.40860215053763443,0.16089574735110546,0.1624936601696454,-0.12435150279980423,4,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03763440860215054, 'turnover': 0.07526881720430108, 'cumulative_return': 0.16089574735110546, 'gross_cumulative_return': 0.1624936601696454, 'gross_mean_return': 0.02564207145145961, 'gross_volatility': 0.09731379562791664, 'gross_sharpe_like': 0.26349883165078813, 'cost_impact': 0.0015979128185399372, 'mean_return': 0.02544207145145961, 'volatility': 0.09731379562791664, 'sharpe_like': 0.2614436245888346, 'win_rate': 0.5714285714285714, 'avg_trade_return': 0.02544207145145961, 'profit_factor': 1.9081024825363708, 'expectancy': 0.025442071451459602, 'avg_win': 0.09355292062759399, 'avg_loss': -0.06537239411671956, 'gross_profit': 0.37421168251037595, 'gross_loss': -0.1961171823501587, 'max_drawdown': -0.12435150279980423, 'max_drawdown_duration': 4}","{'chop': 145, 'trend_down': 41}","{'chop': 130, 'trend_down': 56}","{-1: 125, 1: 47, 0: 14}","{1: 120, -1: 41, 0: 25}"
10,2017-10-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,1092,"{'chop': 738, 'trend_up': 247, 'trend_down': 107}","{1: 604, -1: 470, 0: 18}",49,180,0.9444444444444444,0.2611111111111111,0.018846579802686003,0.02027455066918038,-0.1570571230048018,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03888888888888889, 'turnover': 0.07777777777777778, 'cumulative_return': 0.018846579802686003, 'gross_cumulative_return': 0.02027455066918038, 'gross_mean_return': 0.006109705993107387, 'gross_volatility': 0.08799665437229671, 'gross_sharpe_like': 0.0694311168610844, 'cost_impact': 0.0014279708664943769, 'mean_return': 0.005909705993107387, 'volatility': 0.08799665437229671, 'sharpe_like': 0.06715830317939783, 'win_rate': 0.5714285714285714, 'avg_trade_return': 0.005909705993107387, 'profit_factor': 1.2270368871021282, 'expectancy': 0.005909705993107379, 'avg_win': 0.05589399080276489, 'avg_loss': -0.06073600708643596, 'gross_profit': 0.22357596321105955, 'gross_loss': -0.18220802125930788, 'max_drawdown': -0.1570571230048018, 'max_drawdown_duration': 3}","{'chop': 120, 'trend_up': 60}","{'chop': 120, 'trend_up': 55, 'trend_down': 5}","{1: 134, -1: 30, 0: 16}","{-1: 89, 1: 70, 0: 21}"
